text,mood
I'm incredibly wrathful recently,angry
Life is absolutely frustrating this morning,angry
I feel completely steaming this evening,angry
I feel utterly fearful this morning,fearful
This brings me complete dread this evening,fearful
I'm absolutely afraid these days,fearful
Life is totally terrifying lately,fearful
I'm really worried recently,fearful
Everything feels quite frightening this morning,fearful
I feel very nervous this evening,fearful
This makes me so panicked these days,fearful
I'm incredibly petrified lately,fearful
Today is absolutely alarming recently,fearful
I feel completely threatened this morning,fearful
This brings me totally fear this evening,fearful
I'm really apprehensive these days,fearful
Life couldn't be quite more dangerous lately,fearful
I feel very vulnerable recently,fearful
This is so disturbing this morning,fearful
I'm incredibly trembling this evening,fearful
Everything feels absolutely unsafe these days,fearful
I feel completely insecure lately,fearful
This makes me totally shudder recently,fearful
I'm really horrified this morning,fearful
Today brings quite much fear this evening,fearful
I feel very uneasy these days,fearful
This is so spine-chilling lately,fearful
I'm incredibly paranoid recently,fearful
Life is absolutely unsafe this morning,fearful
I feel completely terrorized this evening,fearful
I feel utterly excited this morning,excited
This brings me complete anticipation this evening,excited
I'm absolutely thrilled these days,excited
Life is totally amazing lately,excited
I'm really pumped recently,excited
Everything feels quite exhilarating this morning,excited
I feel very energized this evening,excited
This makes me so buzz these days,excited
I'm incredibly electrified lately,excited
Today is absolutely fantastic recently,excited
I feel completely animated this morning,excited
This brings me totally excitement this evening,excited
I'm really eager these days,excited
Life couldn't be quite more possible lately,excited
I feel very invigorated recently,excited
This is so stimulating this morning,excited
I'm incredibly charged up this evening,excited
Everything feels absolutely bright these days,excited
I feel completely dynamic lately,excited
This makes me totally vibrate recently,excited
I'm really exuberant this morning,excited
Today brings quite much excitement this evening,excited
I feel very spirited these days,excited
This is so electrifying lately,excited
I'm incredibly passionate recently,excited
Life is absolutely adventurous this morning,excited
I feel completely motivated this evening,excited
utely perfect,calm
I feel incredibly peaceful,calm
This makes me extremely centered,calm
I'm totally at ease,calm
Today brings so calmness,calm
I feel really tranquil,calm
This is incredibly soothing,calm
I'm absolutely relaxed,calm
Life feels extremely balanced,calm
I feel very serene,calm
I love you so much,love
You mean everything to me,love
My heart belongs to you,love
I'm deeply in love,love
You make me feel complete,love
I cherish every moment with you,love
You are my everything,love
I'm head over heels for you,love
You light up my world,love
I can't imagine life without you,love
You are my soulmate,love
I'm crazy about you,love
You make my heart skip a beat,love
I adore you completely,love
You are the love of my life,love
I'm falling deeper in love,love
You are my heart and soul,love
I treasure our love,love
You complete me perfectly,love
I'm devoted to you entirely,love
I am extremely in love today,love
You make me incredibly happy,love
I feel totally devoted,love
This love is absolutely wonderful,love
I'm completely smitten,love
Our relationship is utterly perfect,love
I feel really romantic,love
You make me very passionate,love
I'm quite infatuated,love
This love is extremely deep,love
I feel so connected,love
You bring me incredible joy,love
I'm absolutely enchanted,love
Our bond feels totally strong,love
I feel completely loved,love
This relationship is really beautiful,love
I'm very affectionate,love
Everything feels absolutely right with you,love
I feel incredibly cherished,love
You make me extremely warm inside,love
I'm totally captivated,love
Today brings so much love,love
I feel really blessed with you,love
This love is incredibly pure,love
I'm absolutely devoted,love
I feel so alone and isolated,lonely
Nobody understands me,lonely
I have no one to talk to,lonely
I feel disconnected from everyone,lonely
I'm surrounded by people but feel empty,lonely
I wish someone cared about me,lonely
I feel like an outsider,lonely
Nobody seems to notice me,lonely
I'm craving human connection,lonely
I feel abandoned and forgotten,lonely
I miss having close friends,lonely
I feel invisible to the world,lonely
I'm longing for companionship,lonely
I feel cut off from society,lonely
I wish I had someone to share with,lonely
I feel like nobody gets me,lonely
I'm yearning for meaningful relationships,lonely
I feel emotionally distant from others,lonely
I'm missing that special connection,lonely
I feel like I'm on the outside looking in,lonely
I am extremely lonely today,lonely
This makes me incredibly isolated,lonely
I feel totally alone,lonely
This situation is absolutely isolating,lonely
I'm completely disconnected,lonely
Life feels utterly empty,lonely
I feel really abandoned,lonely
This makes me very sad and alone,lonely
I'm quite isolated,lonely
This is extremely depressing,lonely
I feel so forgotten,lonely
This brings me incredible sadness,lonely
I'm absolutely neglected,lonely
Everything feels totally empty,lonely
I feel completely invisible,lonely
This is really heartbreaking,lonely
I'm very isolated,lonely
Everything seems absolutely meaningless,lonely
I feel incredibly disconnected,lonely
This makes me extremely yearn for company,lonely
I'm totally longing for friendship,lonely
Today brings so much loneliness,lonely
I feel really excluded,lonely
This is incredibly isolating,lonely
I'm absolutely craving connection,lonely
Life feels extremely empty without friends,lonely
I feel very misunderstood,lonely
I'm completely alone this morning,lonely
This situation makes me utterly isolated,lonely
I feel really forgotten today,lonely
This brings me very much sadness,lonely
I'm quite disconnected lately,lonely
This loneliness is extremely overwhelming,lonely
I feel so abandoned recently,lonely
This makes me incredibly miss companionship,lonely
I'm so proud of my achievement,proud
I accomplished something amazing today,proud
I feel great about what I've done,proud
This success means everything to me,proud
I'm beaming with pride,proud
I worked hard for this moment,proud
I feel accomplished and satisfied,proud
This achievement fills me with joy,proud
I'm proud of how far I've come,proud
I feel confident in my abilities,proud
This success validates my efforts,proud
I'm glowing with satisfaction,proud
I feel worthy of this recognition,proud
I'm proud to be who I am,proud
This moment makes me feel special,proud
I'm celebrating my hard work,proud
I feel honored by this achievement,proud
I'm proud of my perseverance,proud
This success boosts my confidence,proud
I feel like I've made a difference,proud
I am extremely proud today,proud
This makes me incredibly accomplished,proud
I feel totally satisfied,proud
This achievement is absolutely wonderful,proud
I'm completely fulfilled,proud
This success is utterly rewarding,proud
I feel really confident,proud
This makes me very happy about myself,proud
I'm quite pleased,proud
This is extremely validating,proud
I feel so successful,proud
This brings me incredible satisfaction,proud
I'm absolutely glowing,proud
Everything feels totally right,proud
I feel completely worthy,proud
This is really meaningful,proud
I'm very accomplished,proud
Everything seems absolutely perfect,proud
I feel incredibly validated,proud
This makes me extremely confident,proud
I'm totally celebrating,proud
Today brings so much pride,proud
I feel really honored,proud
This is incredibly rewarding,proud
I'm absolutely thrilled with myself,proud
Life feels extremely fulfilling,proud
I feel very successful,proud
I feel terrible about what I did,guilty
I shouldn't have said those things,guilty
I feel awful for hurting someone,guilty
I regret my actions completely,guilty
I feel responsible for the pain caused,guilty
I wish I could take it back,guilty
I feel ashamed of my behavior,guilty
I let everyone down,guilty
I feel like a terrible person,guilty
I can't forgive myself,guilty
I feel guilty for being selfish,guilty
I should have done better,guilty
I feel remorseful about my choices,guilty
I'm carrying this burden of guilt,guilty
I feel bad for disappointing others,guilty
I wish I had acted differently,guilty
I feel guilty for not helping,guilty
I'm ashamed of what I've become,guilty
I feel responsible for this mess,guilty
I can't stop feeling guilty,guilty
I am extremely guilty today,guilty
This makes me incredibly ashamed,guilty
I feel totally responsible,guilty
This situation is absolutely my fault,guilty
I'm completely remorseful,guilty
This mistake is utterly unforgivable,guilty
I feel really terrible,guilty
This makes me very regretful,guilty
I'm quite ashamed,guilty
This is extremely disappointing,guilty
I feel so bad,guilty
This brings me incredible shame,guilty
I'm absolutely sorry,guilty
Everything feels totally wrong,guilty
I feel completely at fault,guilty
This is really devastating,guilty
I'm very disappointed in myself,guilty
Everything seems absolutely terrible,guilty
I feel incredibly regretful,guilty
This makes me extremely sorry,guilty
I'm totally blaming myself,guilty
Today brings so much guilt,guilty
I feel really awful,guilty
This is incredibly shameful,guilty
I'm absolutely devastated by my actions,guilty
Life feels extremely heavy with guilt,guilty
I feel very responsible,guilty
I am not good today,sad
I'm under the weather today,sad
I feel a bit overwhelmed,sad
I'm not feeling well,sad
I'm having a rough day,sad
I feel a little down,sad
I'm not at my best today,sad
I'm feeling off today,sad
I'm struggling a bit,sad
I feel drained,sad
I'm not doing great,sad
I feel worn out,sad
I'm having a hard time,sad
I feel exhausted,sad
I'm feeling low,sad
I feel burnt out,sad
I'm not feeling myself,sad
I feel stressed out,sad
I'm feeling blue,sad
I feel overwhelmed with everything,sad
I'm under a lot of pressure,sad
I feel like I'm drowning,sad
I'm having trouble coping,sad
I feel mentally tired,sad
I'm feeling defeated,sad
I feel like giving up,sad
I'm emotionally drained,sad
I feel weighed down,sad
I'm struggling to keep up,sad
I feel like I can't handle this,sad
I'm feeling really low today,sad
I feel completely overwhelmed,sad
I'm totally under the weather,sad
I feel absolutely drained,sad
I'm extremely exhausted,sad
I feel utterly defeated,sad
I'm really struggling right now,sad
I feel very worn out,sad
I'm quite overwhelmed lately,sad
I feel so tired of everything,sad
I'm incredibly stressed,sad
I feel absolutely burnt out,sad
I'm totally not myself today,sad
I feel really down and out,sad
I'm very much under pressure,sad
I feel extremely low,sad
Hi,neutral
Hello,neutral
Hey,neutral
How are you,neutral
Good morning,neutral
Good afternoon,neutral
Good evening,neutral
What's up,neutral
How's it going,neutral
Nice to meet you,neutral
Thanks,neutral
Thank you,neutral
Okay,neutral
Alright,neutral
Sure,neutral
Yes,neutral
No,neutral
Maybe,neutral
I don't know,neutral
Whatever,neutral
Fine,neutral
It's okay,neutral
Not bad,neutral
Could be better,neutral
Same as usual,neutral
Nothing special,neutral
Just another day,neutral
Everything is normal,neutral
Business as usual,neutral
Status quo,neutral
Hi there,neutral
Hello everyone,neutral
Hey guys,neutral
Good day,neutral
Have a nice day,neutral
See you later,neutral
Goodbye,neutral
Bye,neutral
Take care,neutral
Talk to you soon,neutral
I'm here,neutral
Present,neutral
Available,neutral
Ready,neutral
Waiting,neutral
Listening,neutral
Understood,neutral
Got it,neutral
Roger that,neutral
Copy that,neutral
Acknowledged,neutral
Received,neutral
Noted,neutral
Will do,neutral
On it,neutral
Working on it,neutral
In progress,neutral
Almost done,neutral
Completed,neutral
Finished,neutral
Done,neutral
That's it,neutral
The end,neutral
Nothing more,neutral
That's all,neutral
No comment,neutral
No opinion,neutral
Indifferent,neutral
Doesn't matter,neutral
Either way,neutral
Up to you,neutral
Your choice,neutral
Your call,neutral
As you wish,neutral
If you say so,neutral
Fair enough,neutral
Sounds reasonable,neutral
Makes sense,neutral
I suppose,neutral
Probably,neutral
Possibly,neutral
Perhaps,neutral
Could be,neutral
Might be,neutral
Hard to say,neutral
Difficult to tell,neutral
Uncertain,neutral
Unsure,neutral
Not sure,neutral
Can't decide,neutral
Mixed feelings,neutral
On the fence,neutral
Fifty-fifty,neutral
Half and half,neutral
So-so,neutral
Average,neutral
Mediocre,neutral
Standard,neutral
Typical,neutral
Ordinary,neutral
Regular,neutral
Common,neutral
Usual,neutral
Expected,neutral
Predictable,neutral
Routine,neutral
Mundane,neutral
Boring,neutral
Dull,neutral
Plain,neutral
Simple,neutral
Basic,neutral
Straightforward,neutral
Clear,neutral
Obvious,neutral
Evident,neutral
Apparent,neutral
Visible,neutral
Noticeable,neutral
Observable,neutral
Detectable,neutral
Measurable,neutral
Quantifiable,neutral
Objective,neutral
Factual,neutral
Accurate,neutral
Precise,neutral
Exact,neutral
Correct,neutral
Right,neutral
True,neutral
Valid,neutral
Legitimate,neutral
Authentic,neutral
Genuine,neutral
Real,neutral
Actual,neutral
Literal,neutral
Direct,neutral
Honest,neutral
Sincere,neutral
Truthful,neutral
Reliable,neutral
Dependable,neutral
Trustworthy,neutral
Credible,neutral
Believable,neutral
Plausible,neutral
Reasonable,neutral
Logical,neutral
Rational,neutral
Sensible,neutral
Practical,neutral
Realistic,neutral
Feasible,neutral
Possible,neutral
Achievable,neutral
Attainable,neutral
Manageable,neutral
Doable,neutral
Workable,neutral
Viable,neutral
Sustainable,neutral
Maintainable,neutral
Stable,neutral
Steady,neutral
Consistent,neutral
Constant,neutral
Uniform,neutral
Even,neutral
Balanced,neutral
Level,neutral
Flat,neutral
Smooth,neutral
Calm,neutral
Quiet,neutral
Silent,neutral
Still,neutral
Motionless,neutral
Stationary,neutral
Fixed,neutral
Immobile,neutral
Static,neutral
Inactive,neutral
Passive,neutral
Idle,neutral
Dormant,neutral
Resting,neutral
Relaxed,neutral
Peaceful,neutral
Tranquil,neutral
Serene,neutral
Placid,neutral
Undisturbed,neutral
Untroubled,neutral
Unworried,neutral
Unconcerned,neutral
Unaffected,neutral
Unmoved,neutral
Unimpressed,neutral
Indifferent,neutral
Apathetic,neutral
Detached,neutral
Disinterested,neutral
Uninvolved,neutral
Uncommitted,neutral
Noncommittal,neutral
Impartial,neutral
Unbiased,neutral
Objective,neutral
Neutral,neutral
